scenario_id,perturbed_profile,weight_name,direction,perturbation_fraction,multiplier,original_weight,perturbed_raw_weight,perturbed_normalized_weight,normalized_weights_json,spearman_rank_correlation,mean_absolute_rank_change,median_absolute_rank_change,max_absolute_rank_change,top_5_jaccard,top_5_retention,top_5_shared_targets,top_10_jaccard,top_10_retention,top_10_shared_targets,top_20_jaccard,top_20_retention,top_20_shared_targets,baseline_benchmark_primary_intent_accuracy_covered,scenario_benchmark_primary_intent_accuracy_covered,delta_benchmark_primary_intent_accuracy_covered,baseline_benchmark_primary_intent_macro_f1_covered,scenario_benchmark_primary_intent_macro_f1_covered,delta_benchmark_primary_intent_macro_f1_covered,baseline_benchmark_acceptable_intent_accuracy_covered,scenario_benchmark_acceptable_intent_accuracy_covered,delta_benchmark_acceptable_intent_accuracy_covered,baseline_benchmark_cross_intent_specificity_covered,scenario_benchmark_cross_intent_specificity_covered,delta_benchmark_cross_intent_specificity_covered,baseline_benchmark_control_not_prioritized_rate_covered,scenario_benchmark_control_not_prioritized_rate_covered,delta_benchmark_control_not_prioritized_rate_covered,baseline_benchmark_mean_mode_top_5_recall_covered,scenario_benchmark_mean_mode_top_5_recall_covered,delta_benchmark_mean_mode_top_5_recall_covered,baseline_benchmark_mean_mode_top_10_recall_covered,scenario_benchmark_mean_mode_top_10_recall_covered,delta_benchmark_mean_mode_top_10_recall_covered,baseline_benchmark_mean_mode_top_20_recall_covered,scenario_benchmark_mean_mode_top_20_recall_covered,delta_benchmark_mean_mode_top_20_recall_covered,baseline_profile_primary_intent_accuracy,scenario_profile_primary_intent_accuracy,delta_profile_primary_intent_accuracy,baseline_profile_acceptable_intent_accuracy,scenario_profile_acceptable_intent_accuracy,delta_profile_acceptable_intent_accuracy,baseline_profile_cross_intent_specificity,scenario_profile_cross_intent_specificity,delta_profile_cross_intent_specificity,baseline_profile_mean_reciprocal_rank_all,scenario_profile_mean_reciprocal_rank_all,delta_profile_mean_reciprocal_rank_all,baseline_profile_mean_rank_covered,scenario_profile_mean_rank_covered,delta_profile_mean_rank_covered,baseline_profile_top_5_recall_all,scenario_profile_top_5_recall_all,delta_profile_top_5_recall_all,baseline_profile_top_10_recall_all,scenario_profile_top_10_recall_all,delta_profile_top_10_recall_all,baseline_profile_top_20_recall_all,scenario_profile_top_20_recall_all,delta_profile_top_20_recall_all
biomarker__resistance_axis_score__minus20,biomarker,resistance_axis_score,minus,0.2,0.8,0.2,0.16,0.166667,"{""confidence_score"": 0.10416666666666667, ""evidence_balance_score"": 0.10416666666666667, ""modality_fit_score"": 0.20833333333333334, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.15625, ""resistance_axis_score"": 0.1666666666666667, ""role_fit_score"": 0.2604166666666667}",0.999996,0.036254,0.0,2.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.8333,0.8333,0.0,0.9167,0.9167,0.0,0.9167,0.9167,0.0,0.1422,0.1422,0.0,24.0,24.0,0.0,0.2083,0.2083,0.0,0.4167,0.4167,0.0,0.5417,0.5417,0.0
biomarker__resistance_axis_score__plus20,biomarker,resistance_axis_score,plus,0.2,1.2,0.2,0.24,0.230769,"{""confidence_score"": 0.09615384615384616, ""evidence_balance_score"": 0.09615384615384616, ""modality_fit_score"": 0.19230769230769232, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.14423076923076922, ""resistance_axis_score"": 0.23076923076923075, ""role_fit_score"": 0.24038461538461536}",0.999996,0.042296,0.0,2.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.8333,0.8333,0.0,0.9167,0.9167,0.0,0.9167,0.9167,0.0,0.1422,0.1422,0.0,24.0,24.0833,0.0833,0.2083,0.2083,0.0,0.4167,0.4167,0.0,0.5417,0.5417,0.0
biomarker__role_fit_score__minus20,biomarker,role_fit_score,minus,0.2,0.8,0.25,0.2,0.210526,"{""confidence_score"": 0.10526315789473685, ""evidence_balance_score"": 0.10526315789473685, ""modality_fit_score"": 0.2105263157894737, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.15789473684210525, ""resistance_axis_score"": 0.2105263157894737, ""role_fit_score"": 0.2105263157894737}",0.999989,0.090634,0.0,4.0,1.0,1.0,5.0,1.0,1.0,10.0,0.904762,0.95,19.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.8333,0.8333,0.0,0.9167,0.9167,0.0,0.9167,0.9167,0.0,0.1422,0.1416,-0.0006,24.0,24.125,0.125,0.2083,0.2083,0.0,0.4167,0.4167,0.0,0.5417,0.5417,0.0
biomarker__role_fit_score__plus20,biomarker,role_fit_score,plus,0.2,1.2,0.25,0.3,0.285714,"{""confidence_score"": 0.09523809523809526, ""evidence_balance_score"": 0.09523809523809526, ""modality_fit_score"": 0.19047619047619052, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.14285714285714288, ""resistance_axis_score"": 0.19047619047619052, ""role_fit_score"": 0.28571428571428575}",0.999992,0.072508,0.0,3.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.8333,0.8333,0.0,0.9167,0.9167,0.0,0.9167,0.9167,0.0,0.1422,0.1425,0.0003,24.0,23.6667,-0.3333,0.2083,0.2083,0.0,0.4167,0.4167,0.0,0.5417,0.5417,0.0
small_molecule__confidence_score__minus20,small_molecule,confidence_score,minus,0.2,0.8,0.1,0.08,0.081633,"{""confidence_score"": 0.0816326530612245, ""evidence_balance_score"": 0.10204081632653061, ""modality_fit_score"": 0.2551020408163265, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.20408163265306123, ""resistance_axis_score"": 0.10204081632653061, ""role_fit_score"": 0.2551020408163265}",0.999921,0.271903,0.0,11.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2494,-0.0014,8.8,8.9,0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__confidence_score__plus20,small_molecule,confidence_score,plus,0.2,1.2,0.1,0.12,0.117647,"{""confidence_score"": 0.11764705882352941, ""evidence_balance_score"": 0.09803921568627451, ""modality_fit_score"": 0.24509803921568626, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.19607843137254902, ""resistance_axis_score"": 0.09803921568627451, ""role_fit_score"": 0.24509803921568626}",0.986494,1.794562,1.0,285.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2508,0.0,8.8,8.8,0.0,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__evidence_balance_score__minus20,small_molecule,evidence_balance_score,minus,0.2,0.8,0.1,0.08,0.081633,"{""confidence_score"": 0.10204081632653061, ""evidence_balance_score"": 0.08163265306122451, ""modality_fit_score"": 0.25510204081632654, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.20408163265306123, ""resistance_axis_score"": 0.10204081632653061, ""role_fit_score"": 0.25510204081632654}",0.999896,0.271903,0.0,9.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2508,0.0,8.8,8.8,0.0,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__evidence_balance_score__plus20,small_molecule,evidence_balance_score,plus,0.2,1.2,0.1,0.12,0.117647,"{""confidence_score"": 0.09803921568627451, ""evidence_balance_score"": 0.11764705882352941, ""modality_fit_score"": 0.24509803921568626, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.19607843137254902, ""resistance_axis_score"": 0.09803921568627451, ""role_fit_score"": 0.24509803921568626}",0.986632,2.253776,1.0,278.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2494,-0.0014,8.8,8.9,0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__modality_fit_score__minus20,small_molecule,modality_fit_score,minus,0.2,0.8,0.25,0.2,0.210526,"{""confidence_score"": 0.10526315789473685, ""evidence_balance_score"": 0.10526315789473685, ""modality_fit_score"": 0.2105263157894737, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.2105263157894737, ""resistance_axis_score"": 0.10526315789473685, ""role_fit_score"": 0.2631578947368421}",0.986818,2.29003,1.0,275.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2494,-0.0014,8.8,8.9,0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__modality_fit_score__plus20,small_molecule,modality_fit_score,plus,0.2,1.2,0.25,0.3,0.285714,"{""confidence_score"": 0.09523809523809523, ""evidence_balance_score"": 0.09523809523809523, ""modality_fit_score"": 0.2857142857142857, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.19047619047619047, ""resistance_axis_score"": 0.09523809523809523, ""role_fit_score"": 0.23809523809523808}",0.999896,0.271903,0.0,9.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2508,0.0,8.8,8.8,0.0,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__novelty_or_crowding_score__minus20,small_molecule,novelty_or_crowding_score,minus,0.2,0.8,0.0,0.0,0.0,"{""confidence_score"": 0.1, ""evidence_balance_score"": 0.1, ""modality_fit_score"": 0.25, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.2, ""resistance_axis_score"": 0.1, ""role_fit_score"": 0.25}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2508,0.0,8.8,8.8,0.0,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__novelty_or_crowding_score__plus20,small_molecule,novelty_or_crowding_score,plus,0.2,1.2,0.0,0.0,0.0,"{""confidence_score"": 0.1, ""evidence_balance_score"": 0.1, ""modality_fit_score"": 0.25, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.2, ""resistance_axis_score"": 0.1, ""role_fit_score"": 0.25}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2508,0.0,8.8,8.8,0.0,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__opentargets_score__minus20,small_molecule,opentargets_score,minus,0.2,0.8,0.2,0.16,0.166667,"{""confidence_score"": 0.10416666666666667, ""evidence_balance_score"": 0.10416666666666667, ""modality_fit_score"": 0.2604166666666667, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.1666666666666667, ""resistance_axis_score"": 0.10416666666666667, ""role_fit_score"": 0.2604166666666667}",0.985214,2.308157,1.0,295.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2526,0.0018,8.8,8.7,-0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__opentargets_score__plus20,small_molecule,opentargets_score,plus,0.2,1.2,0.2,0.24,0.230769,"{""confidence_score"": 0.09615384615384616, ""evidence_balance_score"": 0.09615384615384616, ""modality_fit_score"": 0.24038461538461536, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.23076923076923075, ""resistance_axis_score"": 0.09615384615384616, ""role_fit_score"": 0.24038461538461536}",0.995308,2.65861,0.0,64.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2494,-0.0014,8.8,8.9,0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__resistance_axis_score__minus20,small_molecule,resistance_axis_score,minus,0.2,0.8,0.1,0.08,0.081633,"{""confidence_score"": 0.10204081632653061, ""evidence_balance_score"": 0.10204081632653061, ""modality_fit_score"": 0.25510204081632654, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.20408163265306123, ""resistance_axis_score"": 0.08163265306122451, ""role_fit_score"": 0.25510204081632654}",0.99974,0.567976,0.0,13.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2494,-0.0014,8.8,8.9,0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__resistance_axis_score__plus20,small_molecule,resistance_axis_score,plus,0.2,1.2,0.1,0.12,0.117647,"{""confidence_score"": 0.09803921568627451, ""evidence_balance_score"": 0.09803921568627451, ""modality_fit_score"": 0.24509803921568626, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.19607843137254902, ""resistance_axis_score"": 0.11764705882352941, ""role_fit_score"": 0.24509803921568626}",0.985562,2.006042,1.0,294.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2526,0.0018,8.8,8.7,-0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__role_fit_score__minus20,small_molecule,role_fit_score,minus,0.2,0.8,0.25,0.2,0.210526,"{""confidence_score"": 0.10526315789473685, ""evidence_balance_score"": 0.10526315789473685, ""modality_fit_score"": 0.2631578947368421, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.2105263157894737, ""resistance_axis_score"": 0.10526315789473685, ""role_fit_score"": 0.2105263157894737}",0.985203,3.141994,1.0,268.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2494,-0.0014,8.8,8.9,0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
small_molecule__role_fit_score__plus20,small_molecule,role_fit_score,plus,0.2,1.2,0.25,0.3,0.285714,"{""confidence_score"": 0.09523809523809523, ""evidence_balance_score"": 0.09523809523809523, ""modality_fit_score"": 0.23809523809523808, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.19047619047619047, ""resistance_axis_score"": 0.09523809523809523, ""role_fit_score"": 0.2857142857142857}",0.999739,0.483384,0.0,16.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.2508,0.2526,0.0018,8.8,8.7,-0.1,0.4,0.4,0.0,0.6,0.6,0.0,1.0,1.0,0.0
